"","beta","q","r","u","v","hfA","sfA","hmA","smA","hfB","sfB","hmB","smB","invSelAdv"
"124",0.7,0.01,0.5,1e-05,1e-05,0.25,0.05,0.25,0.05,0.25,0.05,0.25,0.05,-0.0127708502833044
"125",0.7,0.001,0.5,1e-05,1e-05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-0.000109866525804298
"126",0.7,0.001,0.5,1e-05,1e-05,0.01,0.05,0.01,0.05,0.01,0.05,0.01,0.05,-0.000516111211821995
"127",0.7,0.001,0.5,1e-05,1e-05,0.25,0.01,0.25,0.01,0.25,0.01,0.25,0.01,-0.00250806419747988
"128",0.7,0.001,0.5,1e-05,1e-05,0.25,0.05,0.25,0.05,0.25,0.05,0.25,0.05,-0.0127669047925856
"129",0.8,0.5,0.5,1e-05,1e-05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-0.000104419046822729
"130",0.8,0.5,0.5,1e-05,1e-05,0.01,0.05,0.01,0.05,0.01,0.05,0.01,0.05,-0.000517023915227551
"131",0.8,0.5,0.5,1e-05,1e-05,0.25,0.01,0.25,0.01,0.25,0.01,0.25,0.01,-0.00252025137183817
"132",0.8,0.5,0.5,1e-05,1e-05,0.25,0.05,0.25,0.05,0.25,0.05,0.25,0.05,-0.0129126088507589
"133",0.8,0.1,0.5,1e-05,1e-05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-0.000105264320110697
"134",0.8,0.1,0.5,1e-05,1e-05,0.01,0.05,0.01,0.05,0.01,0.05,0.01,0.05,-0.000517771083873008
"135",0.8,0.1,0.5,1e-05,1e-05,0.25,0.01,0.25,0.01,0.25,0.01,0.25,0.01,-0.0025201440750412
"136",0.8,0.1,0.5,1e-05,1e-05,0.25,0.05,0.25,0.05,0.25,0.05,0.25,0.05,-0.0129116415315632
"137",0.8,0.01,0.5,1e-05,1e-05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-0.000107530713441648
"138",0.8,0.01,0.5,1e-05,1e-05,0.01,0.05,0.01,0.05,0.01,0.05,0.01,0.05,-0.000519160397970759
"139",0.8,0.01,0.5,1e-05,1e-05,0.25,0.01,0.25,0.01,0.25,0.01,0.25,0.01,-0.00251915538552302
"140",0.8,0.01,0.5,1e-05,1e-05,0.25,0.05,0.25,0.05,0.25,0.05,0.25,0.05,-0.0129079439375036
"141",0.8,0.001,0.5,1e-05,1e-05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-0.000107258753568801
"142",0.8,0.001,0.5,1e-05,1e-05,0.01,0.05,0.01,0.05,0.01,0.05,0.01,0.05,-0.00051676396596159
"143",0.8,0.001,0.5,1e-05,1e-05,0.25,0.01,0.25,0.01,0.25,0.01,0.25,0.01,-0.002514650788065
"144",0.8,0.001,0.5,1e-05,1e-05,0.25,0.05,0.25,0.05,0.25,0.05,0.25,0.05,-0.0129037663769515
"145",0.9,0.5,0.5,1e-05,1e-05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-0.0001057298050195
"146",0.9,0.5,0.5,1e-05,1e-05,0.01,0.05,0.01,0.05,0.01,0.05,0.01,0.05,-0.000526146277509225
"147",0.9,0.5,0.5,1e-05,1e-05,0.25,0.01,0.25,0.01,0.25,0.01,0.25,0.01,-0.00254116336715242
"148",0.9,0.5,0.5,1e-05,1e-05,0.25,0.05,0.25,0.05,0.25,0.05,0.25,0.05,-0.0132228844946073
"149",0.9,0.1,0.5,1e-05,1e-05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-0.000106222412028423
"150",0.9,0.1,0.5,1e-05,1e-05,0.01,0.05,0.01,0.05,0.01,0.05,0.01,0.05,-0.000526516252045543
"151",0.9,0.1,0.5,1e-05,1e-05,0.25,0.01,0.25,0.01,0.25,0.01,0.25,0.01,-0.00254098951816457
"152",0.9,0.1,0.5,1e-05,1e-05,0.25,0.05,0.25,0.05,0.25,0.05,0.25,0.05,-0.0132219803131375
"153",0.9,0.01,0.5,1e-05,1e-05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-0.000107900646093616
"154",0.9,0.01,0.5,1e-05,1e-05,0.01,0.05,0.01,0.05,0.01,0.05,0.01,0.05,-0.00052711576362817
"155",0.9,0.01,0.5,1e-05,1e-05,0.25,0.01,0.25,0.01,0.25,0.01,0.25,0.01,-0.00253983022385715
"156",0.9,0.01,0.5,1e-05,1e-05,0.25,0.05,0.25,0.05,0.25,0.05,0.25,0.05,-0.013217958604998
"157",0.9,0.001,0.5,1e-05,1e-05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-0.00010778320698574
"158",0.9,0.001,0.5,1e-05,1e-05,0.01,0.05,0.01,0.05,0.01,0.05,0.01,0.05,-0.000524753416267398
"159",0.9,0.001,0.5,1e-05,1e-05,0.25,0.01,0.25,0.01,0.25,0.01,0.25,0.01,-0.00253487621712593
"160",0.9,0.001,0.5,1e-05,1e-05,0.25,0.05,0.25,0.05,0.25,0.05,0.25,0.05,-0.0132135440927943
